customer_id,lead_date,product_searched,gender,nationality,province,dob,booking_date,product_booked,Booking_Price,Discount,HasUpgraded,Converted,FinalPrice
1,01/12/2016,Premium_Economy,Male,India,Dubai,31/03/1982,01/12/2016,Premium_Economy,5000.0,190.0,Converted,False,4810.0
2,01/12/2016,Economy,Male,U.A.E.,Sharjah,19/05/1967,,,,,Converted,False,
3,01/12/2016,Economy,Male,Pakistan,Sharjah,08/11/1958,,,,,Converted,False,
4,01/12/2016,Premium_Economy,Male,India,Dubai,16/07/1970,01/12/2016,Premium_Economy,5000.0,450.0,Converted,False,4550.0
5,01/12/2016,Business,Female,U.A.E.,Fujairah,05/10/1984,01/12/2016,Business,8000.0,130.0,Converted,False,7870.0
6,01/12/2016,Economy,Male,Sri Lanka,Abu Dhabi,16/02/1989,01/12/2016,Economy,4000.0,380.0,Converted,False,3620.0
7,01/12/2016,Premium_Economy,Male,India,Dubai,03/06/1973,,,,,Converted,False,
8,01/12/2016,Economy,Female,Algeria,Dubai,14/01/1985,01/12/2016,Economy,4000.0,200.0,Converted,False,3800.0
9,01/12/2016,Premium_Economy,Male,India,Dubai,19/12/1985,,,,,Converted,False,
10,01/12/2016,Business,Male,Sudan,Dubai,07/07/1967,01/12/2016,Business,8000.0,580.0,Converted,False,7420.0
11,01/12/2016,Economy,Male,India,Dubai,14/09/1962,,,,,Converted,False,
12,01/12/2016,Economy,Male,India,Dubai,14/09/1985,01/12/2016,Economy,4000.0,600.0,Converted,False,3400.0
13,01/12/2016,Economy,Male,India,Dubai,23/11/1978,,,,,Converted,False,
14,01/12/2016,Economy,Male,India,Dubai,03/11/1984,,,,,Converted,False,
15,01/12/2016,Premium_Economy,Male,Jordan,Dubai,02/08/1983,01/12/2016,Premium_Economy,5000.0,350.0,Converted,False,4650.0
16,01/12/2016,Economy,Male,Pakistan,Abu Dhabi,18/09/1959,,,,,Converted,False,
17,01/12/2016,Premium_Economy,Female,U.A.E.,Ras Al Khaimah,14/04/1994,01/12/2016,Premium_Economy,5000.0,220.0,Converted,False,4780.0
18,01/12/2016,Premium_Economy,Male,Canada,Dubai,02/09/1961,,,,,Converted,False,
19,01/12/2016,Economy,Male,Palestinian,Dubai,23/08/1982,01/12/2016,Economy,4000.0,140.0,Converted,False,3860.0
20,01/12/2016,Premium_Economy,Female,United Kingdom,Dubai,07/06/1978,,,,,Converted,False,
21,01/12/2016,Economy,Male,Philippines,,03/06/1982,01/12/2016,Economy,4000.0,260.0,Converted,False,3740.0
22,01/12/2016,Business,Male,Lebanon,Ras Al Khaimah,27/09/1977,,,,,Converted,False,
23,01/12/2016,Business,Male,India,Dubai,26/09/1980,,,,,Converted,False,
24,01/12/2016,Premium_Economy,Female,India,Abu Dhabi,14/05/1991,01/12/2016,Premium_Economy,5000.0,400.0,Converted,False,4600.0
25,01/12/2016,Business,Male,India,Dubai,05/05/1990,,,,,Converted,False,
26,01/12/2016,Premium_Economy,Male,India,Dubai,06/09/1974,01/12/2016,Premium_Economy,5000.0,300.0,Converted,False,4700.0
27,01/12/2016,Business,Male,U.A.E.,Sharjah,25/08/1971,01/12/2016,Business,8000.0,390.0,Converted,False,7610.0
28,01/12/2016,Economy,Male,India,Abu Dhabi,26/02/1971,,,,,Converted,False,
