,date,device_category,country,event_name,item_name,item_id,page_title,content,trigger,content_type,type,session_id,ga_session_number,skywards_tier,event_count,operating_system,downloads
0,2023-01-01,tablet,Australia,session_start,,,,,auto,,,1672571483,3.0,SILVER,10,iOS,
1,2023-01-01,tablet,Australia,screen_view,,,,Splash screen,app,,,1672571483,3.0,SILVER,10,iOS,
2,2023-01-01,tablet,Australia,screen_view,,,,Home,app,,BaseTabBarViewController,1672571483,3.0,SILVER,10,iOS,
3,2023-01-01,tablet,Australia,screen_view,,,,,auto,,HomeViewController,1672571483,3.0,SILVER,11,iOS,
4,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,HomeViewController,1672571483,3.0,SILVER,11,iOS,
5,2023-01-01,tablet,Australia,screen_view,,,,Categories,app,,BaseTabBarViewController,1672571483,3.0,SILVER,11,iOS,
6,2023-01-01,tablet,Australia,screen_view,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,11,iOS,
7,2023-01-01,tablet,Australia,select_content,Categories:Services,Categories:Services,Categories,,app,card,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
8,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
9,2023-01-01,tablet,Australia,screen_view,,,,Category/Services,app,,BaseTabBarViewController,1672571483,3.0,SILVER,12,iOS,
10,2023-01-01,tablet,Australia,screen_view,,,,,auto,,SpecificPartnerViewController,1672571483,3.0,SILVER,12,iOS,
11,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,SpecificPartnerViewController,1672571483,3.0,SILVER,12,iOS,
12,2023-01-01,tablet,Australia,screen_view,,,,Categories,app,,BaseTabBarViewController,1672571483,3.0,SILVER,12,iOS,
13,2023-01-01,tablet,Australia,screen_view,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
14,2023-01-01,tablet,Australia,select_content,Categories:Fine Dining,Categories:Fine Dining,Categories,,app,card,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
15,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
16,2023-01-01,tablet,Australia,screen_view,,,,Category/Fine dining,app,,BaseTabBarViewController,1672571483,3.0,SILVER,12,iOS,
17,2023-01-01,tablet,Australia,screen_view,,,,,auto,,SpecificPartnerViewController,1672571483,3.0,SILVER,12,iOS,
18,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,SpecificPartnerViewController,1672571483,3.0,SILVER,12,iOS,
19,2023-01-01,tablet,Australia,screen_view,,,,Categories,app,,BaseTabBarViewController,1672571483,3.0,SILVER,12,iOS,
20,2023-01-01,tablet,Australia,screen_view,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
21,2023-01-01,tablet,Australia,user_engagement,,,,,auto,,CategoriesViewController,1672571483,3.0,SILVER,12,iOS,
22,2023-01-01,tablet,New Zealand,session_start,,,,,auto,,,1672565059,11.0,BLUE,44,iOS,
23,2023-01-01,tablet,New Zealand,screen_view,,,,Splash screen,app,,,1672565059,11.0,BLUE,44,iOS,
24,2023-01-01,tablet,New Zealand,screen_view,,,,Home,app,,BaseTabBarViewController,1672565059,11.0,BLUE,44,iOS,
25,2023-01-01,tablet,New Zealand,screen_view,,,,,auto,,HomeViewController,1672565059,11.0,BLUE,45,iOS,
26,2023-01-01,tablet,New Zealand,user_engagement,,,,,auto,,HomeViewController,1672565059,11.0,BLUE,45,iOS,
27,2023-01-01,tablet,New Zealand,screen_view,,,,My Profile,app,,BaseTabBarViewController,1672565059,11.0,BLUE,45,iOS,
28,2023-01-01,tablet,New Zealand,screen_view,,,,,auto,,MyProfileViewController,1672565059,11.0,BLUE,45,iOS,
29,2023-01-01,tablet,New Zealand,select_content,Location:On,Location:On,My Profile,,app,toggle,MyProfileViewController,1672565059,11.0,BLUE,45,iOS,
30,2023-01-01,tablet,New Zealand,select_content,Skywards Everyday Statement,Skywards Everyday Statement,My Profile,,app,link,MyProfileViewController,1672565059,11.0,BLUE,46,iOS,
31,2023-01-01,tablet,New Zealand,user_engagement,,,,,auto,,MyProfileViewController,1672565059,11.0,BLUE,46,iOS,
32,2023-01-01,tablet,New Zealand,screen_view,,,,,auto,,StatementsViewController,1672565059,11.0,BLUE,46,iOS,
33,2023-01-01,tablet,New Zealand,screen_view,,,,Skywards Everyday Statement:No transactions yet,app,,BaseTabBarViewController,1672565059,11.0,BLUE,46,iOS,
34,2023-01-01,tablet,New Zealand,user_engagement,,,,Skywards Everyday Statement:No transactions yet,auto,,BaseTabBarViewController,1672565059,11.0,BLUE,46,iOS,
35,2023-01-01,tablet,New Zealand,screen_view,,,,My Profile,app,,BaseTabBarViewController,1672565059,11.0,BLUE,46,iOS,
36,2023-01-01,tablet,New Zealand,screen_view,,,,,auto,,MyProfileViewController,1672565059,11.0,BLUE,46,iOS,
