customer_id,lead_date,product_searched,gender,nationality,province,dob
1,01/12/2016,Premium_Economy,Male,India,Dubai,31/03/1982
2,01/12/2016,Economy,Male,U.A.E.,Sharjah,19/05/1967
3,01/12/2016,Economy,Male,Pakistan,Sharjah,08/11/1958
4,01/12/2016,Premium_Economy,Male,India,Dubai,16/07/1970
5,01/12/2016,Business,Female,U.A.E.,Fujairah,05/10/1984
6,01/12/2016,Economy,Male,Sri Lanka,Abu Dhabi,16/02/1989
7,01/12/2016,Premium_Economy,Male,India,Dubai,03/06/1973
8,01/12/2016,Economy,Female,Algeria,Dubai,14/01/1985
9,01/12/2016,Premium_Economy,Male,India,Dubai,19/12/1985
10,01/12/2016,Business,Male,Sudan,Dubai,07/07/1967
11,01/12/2016,Economy,Male,India,Dubai,14/09/1962
12,01/12/2016,Economy,Male,India,Dubai,14/09/1985
13,01/12/2016,Economy,Male,India,Dubai,23/11/1978
14,01/12/2016,Economy,Male,India,Dubai,03/11/1984
15,01/12/2016,Premium_Economy,Male,Jordan,Dubai,02/08/1983
16,01/12/2016,Economy,Male,Pakistan,Abu Dhabi,18/09/1959
17,01/12/2016,Premium_Economy,Female,U.A.E.,Ras Al Khaimah,14/04/1994
18,01/12/2016,Premium_Economy,Male,Canada,Dubai,02/09/1961
19,01/12/2016,Economy,Male,Palestinian,Dubai,23/08/1982
20,01/12/2016,Premium_Economy,Female,United Kingdom,Dubai,07/06/1978
21,01/12/2016,Economy,Male,Philippines,,03/06/1982
22,01/12/2016,Business,Male,Lebanon,Ras Al Khaimah,27/09/1977
23,01/12/2016,Business,Male,India,Dubai,26/09/1980
24,01/12/2016,Premium_Economy,Female,India,Abu Dhabi,14/05/1991
25,01/12/2016,Business,Male,India,Dubai,05/05/1990
26,01/12/2016,Premium_Economy,Male,India,Dubai,06/09/1974
27,01/12/2016,Business,Male,U.A.E.,Sharjah,25/08/1971
28,01/12/2016,Economy,Male,India,Abu Dhabi,26/02/1971
29,01/12/2016,Economy,Female,India,Dubai,11/06/1984
30,01/12/2016,Economy,Male,U.A.E.,Umm Al Quwain,18/02/1986
31,01/12/2016,Business,Male,Pakistan,Dubai,06/10/1980
32,01/12/2016,Premium_Economy,Female,Philippines,Dubai,11/07/1971
33,01/12/2016,Premium_Economy,Female,Palestinian,Dubai,06/01/1983
34,03/12/2016,Economy,Male,U.A.E.,Ras Al Khaimah,24/12/1977
35,03/12/2016,Business,Male,U.A.E.,Ras Al Khaimah,01/01/1979
36,03/12/2016,Business,Male,U.A.E.,Al-Ain,08/12/1969
37,03/12/2016,Economy,Female,U.A.E.,Fujairah,11/08/1987
38,03/12/2016,Economy,Male,Egypt,Dubai,31/05/1980
39,03/12/2016,Business,Male,U.A.E.,Al-Ain,30/04/1981
40,03/12/2016,Business,Male,U.A.E.,Al-Ain,08/05/1953
41,03/12/2016,Business,Male,U.A.E.,Dubai,27/05/1975
42,03/12/2016,Business,Female,U.A.E.,Dubai,29/03/1998
43,03/12/2016,Economy,Male,Pakistan,Ajman,21/12/1971
44,03/12/2016,Business,Male,U.A.E.,Sharjah,
45,03/12/2016,Business,Female,U.A.E.,Al-Ain,06/06/1986
46,03/12/2016,Business,Male,Thailand,Dubai,29/03/1978
47,03/12/2016,Economy,Male,Egypt,Dubai,03/08/1972
48,03/12/2016,Economy,Male,Syria,Dubai,07/04/1986
49,03/12/2016,Premium_Economy,Male,India,Ajman,07/07/1980
50,03/12/2016,Economy,Male,Not Known,,
